name,notes,support phone,support email,warranty lookup url,url
Abode,,,,,
Alexander McQueen,,,,,
AllModern,,,,,
Amazon,,,,,
AMD,,,,,
Ampeg,,,,,
Anker,,,,,
Anya Hindmarch,,,,,
Apple,,,,,
Arhaus,,,,,
Artika,,,,,
Asus,,,,,
AutomaticSolution Software,,,,,
Away,,,,,
B&O,,,,,
Bay Isle Home,,,,,
Beast,,,,,
Becki Owens x Livabliss,,,,,
Bissell,,,,,
Bitdefender,,,,,
BlueSky,,,,,
Bosch,,,,,
Boston Acoustics,,,,,
Bottega,,,,,
Bowers & Wilkins,,,,,
Breville,,,,,
Brother,,,,,
Bulgari,,,,,
Burberry,,,,,
Canopy,,,,,
Cartier,,,,,
Casoman,,,,,
Celine,,,,,
Chanel,,,,,
ChargePoint,,,,,
Chef's Choice,,,,,
Christian Louboutin,,,,,
Corsair,,,,,
Crown Audio,,,,,
Crucial,,,,,
Cyber Power,,,,,
Dakota Fields,,,,,
DeWalt,,,,,
Dior,,,,,
Dyson,,,,,
Etymotic Research,,,,,
Fender,,,,,
Fortinet,,,,,
Frigidaire,,,,,
FujiFilm,,,,,
G&L,,,,,
G.A. Gertmenian & Sons,,,,,
Genie,,,,,
George Oliver,,,,,
GIGABYTE,,,,,
Goldenmate,,,,,
Goodman,,,,,
Google,,,,,
Gorilla Rack,,,,,
Goyard,,,,,
Greater Goods,,,,,
Gucci,,,,,
Herman Miller,,,,,
Highland Dunes,,,,,
Hit Box Arcade,,,,,
Hokku Designs,,,,,
Honeywell,,,,,
HP,,,,,
HQRP,,,,,
Husky,,,,,
Hyundai,,,,,
Ideal,,,,,
iRasptek,,,,,
Latitude Run,,,,,
Laurel Foundry Modern Farmhouse,,,,,
Leesa,,,,,
Lego,,,,,
LG,,,,,
Little Giant,,,,,
Logitech,,,,,
Louis Vuitton,,,,,
Lovesac,,,,,
Lyma,,,,,
Macy's,,,,,
Magic Chef,,,,,
Mercer41,,,,,
Meze Audio,,,,,
Microsoft,,,,,
Milwaukee,,,,,
Mistana,,,,,
Miu Miu,,,,,
Moen,,,,,
MSI,,,,,
MTO,,,,,
Navien,,,,,
Netgear,,,,,
Ninja,,,,,
Nintendo,,,,,
Nothing,,,,,
Nvidia,,,,,
NZXT,,,,,
Oculus,,,,,
Omron,,,,,
Orbit,,,,,
Oura,,,,,
Parker,,,,,
Peak Design,,,,,
Pelican,,,,,
Phomemo,,,,,
Phyn,,,,,
Pocket Hose,,,,,
Pottery Barn,,,,,
Profitec,,,,,
RasTech,,,,,
Ray Ban,,,,,
Razer,,,,,
Rebrilliant,,,,,
Red Barrel Studio,,,,,
RedGate,,,,,
Rotozip,,,,,
Ryobi,,,,,
Saatva,,,,,
Sabrent,,,,,
Samsung,,,,,
Seagate,,,,,
SentrySafe,,,,,
Shark,,,,,
Sony,,,,,
Steelcase,,,,,
Steelside,,,,,
Stella McCartney,,,,,
Strongback,,,,,
Synology,,,,,
TCL,,,,,
ThermoWorks,,,,,
Tom Ford,,,,,
Toro,,,,,
Toto,,,,,
Traeger,,,,,
Velodyne,,,,,
Vizio,,,,,
Wade Logan,,,,,
Wagner,,,,,
Waterpik,,,,,
West Elm,,,,,
Western Digital,,,,,
Wrought Studio,,,,,
Yamaha,,,,,
YSL,,,,,
